Name,Nationality,Overall,Club,Value,Position
R. Niizato,Japan,52,V-Varen Nagasaki,€70K,CM
H. Hauso,Norway,52,Vålerenga Fotball,€90K,CB
O. Sahraoui,Norway,52,Vålerenga Fotball,€100K,CM
S. Opsahl,Norway,52,Vålerenga Fotball,€100K,CM
S. Melvin,Canada,52,Vancouver Whitecaps FC,€50K,GK
M. Boe Mikkelsen,Denmark,52,Vendsyssel FF,€100K,RM
L. Beckemeyer,Germany,52,VfL Osnabrück,€80K,GK
T. Möller,Germany,52,VfL Osnabrück,€110K,LM
T. Yasui,Japan,52,Vissel Kobe,€80K,CDM
T. Noda,Japan,52,Vissel Kobe,€70K,CM
N. Baba,Republic of Ireland,52,Waterford FC,€80K,CB
N. Corbet,Republic of Ireland,52,Waterford FC,€50K,GK
B. Waine,New Zealand,52,Wellington Phoenix,€100K,ST
P. ?wi?tko,Poland,52,Wis?a Kraków,€100K,CB
B. ?ynel,Poland,52,Wis?a P?ock,€60K,GK
B. Gradecki,Poland,52,Wis?a P?ock,€60K,GK
F. Tauchhammer,Austria,52,Wolfsberger AC,€90K,RB
S. Phillips,England,52,Yeovil Town,€0,GK
K. Yamada,Japan,52,Yokohama F. Marinos,€70K,RB
B. Slisz,Poland,52,Zag??bie Lubin,€90K,LDM
A. Czaplak,Poland,52,Zag??bie Sosnowiec,€60K,GK
D. Szczerbal,Poland,53,?l?sk Wroc?aw,€50K,GK
J. Brändle,Germany,53,1. FC Heidenheim 1846,€110K,LB
J. Bartels,Germany,53,1. FC Köln,€90K,GK
L. Moser,Germany,53,1. FC Union Berlin,€100K,GK
M. Ramkilde,Denmark,53,Aalborg BK,€110K,ST
S. Hausner,Denmark,53,Aarhus GF,€110K,CB
R. Harrington,Wales,53,Aberdeen,€100K,RB
C. McLennan,Scotland,53,Aberdeen,€120K,RM
L. Pierre,Haiti,53,AC Ajaccio,€130K,ST
T. Warner,Trinidad & Tobago,53,Accrington Stanley,€0,GK
R. Ogle,Australia,53,Accrington Stanley,€90K,RB
L. Brook,Australia,53,Adelaide United,€130K,CAM
K. Sparta,Australia,53,AFC Wimbledon,€120K,CAM
N. Tzanev,New Zealand,53,AFC Wimbledon,€80K,GK
A. Ben Lamin,Sweden,53,AIK,€110K,CB
Y. Al Qarni,Saudi Arabia,53,Al Ahli,€100K,CDM
K. Al Mozaibri,Saudi Arabia,53,Al Batin,€70K,GK
W. Al Enezi,Saudi Arabia,53,Al Batin,€110K,RB
A. Al Hassan,Saudi Arabia,53,Al Fateh,€80K,CDM
M. Al Nakhli,Saudi Arabia,53,Al Fateh,€110K,RM
M. Al Shudukhi,Saudi Arabia,53,Al Raed,€130K,RM
A. Al Meqran,Saudi Arabia,53,Al Raed,€90K,ST
I. Al Otaibi,Saudi Arabia,53,Al Taawoun,€100K,CM
H. Al Ruwaili,Saudi Arabia,53,Al Taawoun,€70K,RB
A. Klimczak,Poland,53,Arka Gdynia,€70K,LB
D. Revan,England,53,Aston Villa,€110K,CB
J. Doyle-Hayes,Republic of Ireland,53,Aston Villa,€130K,CM
F. Figueroa,Venezuela,53,Atlético Huila,€110K,CAM
H. Hernández,Colombia,53,Atlético Huila,€120K,CM
K. Agudelo,Colombia,53,Atlético Huila,€130K,LCM
J. Walton,England,53,Barnsley,€110K,GK
B. Williams,Wales,53,Barnsley,€110K,LB
Sun Weizhe,China PR,53,Beijing Renhe FC,€70K,CDM
Xu Jiamin,China PR,53,Beijing Renhe FC,€60K,GK
L. Hedlund,Sweden,53,BK Häcken,€130K,LW
S. Arango,Colombia,53,Boyacá Chicó FC,€70K,GK
J. Gibson,England,53,Bradford City,€130K,LW
R. Gorman,Republic of Ireland,53,Bray Wanderers,€70K,CB
D. Gibbons,Republic of Ireland,53,Bray Wanderers,€80K,CB
M. O'Connor,Republic of Ireland,53,Bray Wanderers,€70K,GK
E. Hodge,England,53,Burton Albion,€100K,LW
J. Waite,Wales,53,Cardiff City,€130K,CM
C. Coxe,Wales,53,Cardiff City,€110K,RB
L. McCarron,England,53,Carlisle United,€80K,RW
F. Sasmay,Chile,53,CD Antofagasta,€100K,LM
B. Manosalva,Chile,53,CD Huachipato,€70K,GK
P. Kekeris,Australia,53,Central Coast Mariners,€120K,LW
J. Smylie,Australia,53,Central Coast Mariners,€100K,ST
Cui Jingming,China PR,53,Changchun Yatai FC,€90K,CM
Liu Yu,China PR,53,Changchun Yatai FC,€60K,GK
Zhao Mingyu,China PR,53,Changchun Yatai FC,€110K,ST
K. Yao,England,53,Charlton Athletic,€110K,CB
M. Kennedy,Northern Ireland,53,Charlton Athletic,€100K,RM
K. Mooney,England,53,Cheltenham Town,€130K,ST
Wang Min,China PR,53,Chongqing Dangdai Lifan FC SWM Team,€60K,GK
Li Fang,China PR,53,Chongqing Dangdai Lifan FC SWM Team,€60K,RB
S. Warde,Republic of Ireland,53,Colchester United,€100K,CM
G. Comerford,Republic of Ireland,53,Cork City,€70K,LB
D. Walters,England,53,Coventry City,€100K,LM
F. Majchrowicz,Poland,53,Cracovia,€80K,GK
S. Strózik,Poland,53,Cracovia,€130K,RM
Felipe Ferreyra,Brazil,53,Curicó Unido,€130K,ST
Jeong Chung Yeob,Korea Republic,53,Daegu FC,€130K,LW
J. Borquez,Chile,53,Deportes Iquique,€110K,GK
L. Rivas,Colombia,53,Deportes Tolima,€100K,GK
J. Campaz,Colombia,53,Deportes Tolima,€130K,LM
A. Estacio,Colombia,53,Deportivo Pasto,€130K,LM
C. Farren,Northern Ireland,53,Derry City,€100K,ST
W. Longbottom,England,53,Doncaster Rovers,€80K,ST
R. Treacy,Republic of Ireland,53,Dundalk,€70K,GK
S. Byrne,Republic of Ireland,53,Dundalk,€90K,ST
J. Dodd,England,53,Exeter City,€100K,CM
Y. Kaiser,Switzerland,53,FC Basel 1893,€80K,CB
L. Sedlak,Germany,53,FC Carl Zeiss Jena,€80K,GK
J. Nahr,Germany,53,FC Carl Zeiss Jena,€120K,ST
B. Servania,United States,53,FC Dallas,€130K,CAM
E. Löder,Germany,53,FC Erzgebirge Aue,€80K,CAM
M. Schlosser,Germany,53,FC Erzgebirge Aue,€70K,GK
P. Ouaneh,France,53,FC Lorient,€90K,CB
L. Soldini,Switzerland,53,FC Lugano,€100K,GK
D. Feka,Kosovo,53,FC Luzern,€70K,CDM
L. Jacot,Switzerland,53,FC Luzern,€100K,GK
L. Talbro,Denmark,53,FC Nordsjælland,€110K,RB
A. Long,France,53,FC Sochaux-Montbéliard,€80K,GK
M. Muheim,Switzerland,53,FC St. Gallen,€130K,LM
Y. Suzuki,Japan,53,FC Tokyo,€130K,CM
T. Hara,Japan,53,FC Tokyo,€130K,ST
L. Langhans,Germany,53,FC Würzburger Kickers,€110K,RM
Y. Maouche,France,53,FC Zürich,€110K,CM
H. Fossdal,Norway,53,FK Haugesund,€100K,GK
K. Krygård,Norway,53,FK Haugesund,€90K,ST
M. Urwin,England,53,Fleetwood Town,€60K,GK
M. Hayashi,Japan,53,Gamba Osaka,€80K,GK
D. Dumont,France,53,GFC Ajaccio,€90K,CB
J. Anziani,France,53,GFC Ajaccio,€110K,CM
A. Bahtijar,Sweden,53,GIF Sundsvall,€100K,CM
K. Jaksik,Poland,53,Górnik Zabrze,€80K,RB
A. Rose,Jamaica,53,Grimsby Town,€100K,ST
Zhong Yihao,China PR,53,Guangzhou Evergrande Taobao FC,€80K,RW
Chen Weiming,China PR,53,Guangzhou R&F; FC,€80K,RB
N. Kastenhofer,Germany,53,Hallescher FC,€110K,CB
Wen Zhixiang,China PR,53,Henan Jianye FC,€50K,GK
Yan Hao,China PR,53,Henan Jianye FC,€130K,ST
L. Allan,Scotland,53,Hibernian,€90K,ST
E. Banza,Congo,53,HJK Helsinki,€120K,RW
R. Kawai,Japan,53,Hokkaido Consadole Sapporo,€0,CB
G. Henriksson,Sweden,53,IF Elfsborg,€80K,CB
A. Yusuf,Nigeria,53,IFK Göteborg,€120K,CM
M. Bazi,Sweden,53,IFK Norrköping,€130K,CM
Choi Beom Kyung,Korea Republic,53,Incheon United FC,€100K,CM
J. Giraldo,Colombia,53,Independiente Medellín,€90K,CB
D. Valdelamar,Colombia,53,Independiente Santa Fe,€90K,CM
M. Ozga,Poland,53,Jagiellonia Bia?ystok,€110K,CB
M. Twarowski,Poland,53,Jagiellonia Bia?ystok,€120K,ST
D. Palacios,Colombia,53,Jaguares de Córdoba,€80K,LB
M. Matsumoto,Japan,53,Júbilo Iwata,€90K,CM
R. Miura,Japan,53,Júbilo Iwata,€50K,GK
J. Hanek,Germany,53,Karlsruher SC,€100K,CM
M. Schragl,Austria,53,Karlsruher SC,€100K,GK
W. D?ugosz,Poland,53,Korona Kielce,€90K,CAM
A. Piróg,Poland,53,Korona Kielce,€100K,CM
F. Niang,Senegal,53,La Berrichonne de Châteauroux,€80K,CM
D. Bumberger,Austria,53,LASK Linz,€90K,CB
E. Dubickas,Lithuania,53,Lecce,€130K,CF
S. Sinyan,Norway,53,Lillestrøm SK,€90K,CM
M. Christiansen,Norway,53,Lillestrøm SK,€60K,GK
L. Ranger,Norway,53,Lillestrøm SK,€110K,RB
J. Brady,Republic of Ireland,53,Limerick FC,€110K,GK
J. McCombe,England,53,Lincoln City,€10K,CB
A. Crookes,England,53,Lincoln City,€80K,LB
R. Stewart,Scotland,53,Livingston FC,€70K,GK
M. Knox,Scotland,53,Livingston FC,€140K,ST
A. Jarvis,England,53,Luton Town,€120K,ST
N. Sette,Australia,53,Melbourne Victory,€120K,RW
J. Wicks,England,53,Millwall,€120K,CM
J. Piggott,England,53,Morecambe,€130K,ST
S. Fukahori,Japan,53,Nagoya Grampus,€100K,ST
F. Nicastro,Italy,53,Neuchâtel Xamax,€10K,GK
L. Coddington,England,53,Northampton Town,€70K,GK
T. Crawford,England,53,Notts County,€100K,CAM
M. Bustgaard Larsen,Norway,53,Odds BK,€120K,LW
T. Hamer,England,53,Oldham Athletic,€110K,RB
S. Gustafsson,Sweden,53,Örebro SK,€100K,GK
E. Alarcón,Argentina,53,Patronato,€50K,GK
Y. Mustafa,Australia,53,Perth Glory,€100K,ST
J. McGuire,United States,53,Philadelphia Union,€70K,GK
F. Langsdorf,United States,53,Portland Timbers,€80K,ST
M. Casey,England,53,Portsmouth,€110K,CB
D. Smith,England,53,Portsmouth,€120K,ST
L. Pelletier,France,53,RC Strasbourg Alsace,€100K,GK
A. Estrada,Chile,53,San Luis de Quillota,€100K,CM
D. Diaz,Chile,53,San Luis de Quillota,€80K,RB
O. Breistøl,Norway,53,Sandefjord Fotball,€110K,CM
E. Williamson,United States,53,Santa Clara,€100K,CAM
A. Ocejo,Mexico,53,Santos Laguna,€90K,LM
N. Ochojski,Germany,53,SC Fortuna Köln,€90K,CDM
D. Karimani,Kosovo,53,SC Paderborn 07,€130K,CAM
S. Heil,Germany,53,SC Paderborn 07,€90K,CB
P. Selkos,Greece,53,SC Paderborn 07,€120K,ST
T. Mannek,Germany,53,SC Paderborn 07,€90K,ST
Zhu Chenjie,China PR,53,Shanghai Greenland Shenhua FC,€120K,CB
Sun Kai,China PR,53,Shanghai Greenland Shenhua FC,€50K,LB
Yu Hao,China PR,53,Shanghai SIPG FC,€80K,CB
Shi Xiaodong,China PR,53,Shanghai SIPG FC,€70K,GK
Chen Wei,China PR,53,Shanghai SIPG FC,€80K,GK
Lei Wenjie,China PR,53,Shanghai SIPG FC,€100K,ST
T. Herbots,Belgium,53,Sint-Truidense VV,€100K,GK
S. Sar?kaya,Turkey,53,Sivasspor,€120K,CM
H. Stenevik,Norway,53,SK Brann,€120K,LW
M. Bildøy,Norway,53,SK Brann,€120K,RW
J. Keaney,Republic of Ireland,53,Sligo Rovers,€110K,RCM
P. Buch Christiansen,Denmark,53,SønderjyskE,€120K,ST
K. McClean,Northern Ireland,53,St. Johnstone FC,€130K,CM
G. Hurst,Scotland,53,St. Johnstone FC,€130K,ST
E. Erhahon,Scotland,53,St. Mirren,€120K,LB
S. Jamieson,Scotland,53,St. Mirren,€130K,ST
D. Makoma,France,53,Stevenage,€100K,CM
J. Hoormann,Germany,53,SV Meppen,€80K,CB
L. Demaj,Germany,53,SV Meppen,€100K,RM
J. King,Australia,53,Sydney FC,€100K,LB
J. Skotadis,Australia,53,Sydney FC,€120K,RW
Wen Junjie,China PR,53,Tianjin Quanjian FC,€90K,CB
B. Yáñez,Chile,53,Unión Española,€120K,LW
D. Valencia,Chile,53,Universidad Católica,€140K,ST
K. Shibato,Japan,53,Urawa Red Diamonds,€80K,CDM
G. Vannucchi,Italy,53,US Salernitana 1919,€60K,GK
M. Tomizawa,Japan,53,V-Varen Nagasaki,€60K,GK
Lucas Ribeiro,Brazil,53,Valenciennes FC,€130K,LM
Lee Yunoh,Korea Republic,53,Vegalta Sendai,€50K,GK
S. Haubrock,Germany,53,VfL Osnabrück,€110K,CB
A. Papadopoulos,Germany,53,VfR Aalen,€110K,CB
A. Bates,England,53,Walsall,€120K,CM
R. Rode,Latvia,53,Waterford FC,€50K,CB
K. Lasko?,Poland,53,Wis?a Kraków,€110K,CB
K. Broda,Poland,53,Wis?a Kraków,€110K,GK
M. Zapytowski,Poland,53,Wis?a P?ock,€70K,GK
K. Yoshio,Japan,53,Yokohama F. Marinos,€80K,CAM
T. Nishiyama,Japan,53,Yokohama F. Marinos,€110K,CB
D. ?uczak,Poland,54,?l?sk Wroc?aw,€100K,LM
D. G?ska,Poland,54,?l?sk Wroc?aw,€90K,RM
J. Scholz,Germany,54,1. FC Kaiserslautern,€130K,CB
B. Scott,United States,54,1. FC Köln,€120K,GK
L. Pellegrini,France,54,AC Ajaccio,€130K,LB
S. Avanzini,Italy,54,AC Horsens,€80K,LB
L. D'Arrigo,Australia,54,Adelaide United,€130K,CAM
G. Botos,Greece,54,AEK Athens,€150K,CAM
P. Kalambayi,England,54,AFC Wimbledon,€130K,CB
T. Garratt,England,54,AFC Wimbledon,€100K,LB
T. Wood,England,54,AFC Wimbledon,€120K,ST
A. Zabani,Saudi Arabia,54,Al Batin,€100K,CDM
A. Al Dhafeeri,Saudi Arabia,54,Al Batin,€100K,CM
H. Sharahili,Saudi Arabia,54,Al Batin,€70K,ST
M. Al Majhad,Saudi Arabia,54,Al Fateh,€110K,CM
B. Al Bahrani,Saudi Arabia,54,Al Fateh,€70K,GK
A. Al Dakheel,Saudi Arabia,54,Al Hazem,€90K,CB
F. Al Birekan,Saudi Arabia,54,Al Nassr,€140K,ST
E. Fadda,Saudi Arabia,54,Al Qadisiyah,€90K,GK
A. Al Shammari,Saudi Arabia,54,Al Raed,€60K,GK
M. Al Sharimi,Saudi Arabia,54,Al Raed,€80K,RB
J. Suárez,Colombia,54,Alianza Petrolera,€120K,ST
J. Quiñones Saya,Colombia,54,América de Cali,€150K,RM
M. Molenda,Poland,54,Arka Gdynia,€110K,GK
K. Krzepisz,Poland,54,Arka Gdynia,€70K,GK
H. McKirdy,Scotland,54,Aston Villa,€130K,ST
J. Gallagher,Republic of Ireland,54,Atlanta United,€110K,ST
M. Loaiza,Colombia,54,Atlético Bucaramanga,€70K,GK
A. Reyes Ambuila,Colombia,54,Atlético Nacional,€130K,CB
M. Saavedra,Chile,54,Audax Italiano,€140K,ST
E. Otim,Uganda,54,Barnsley,€150K,RM
V. Adeboyejo,England,54,Barnsley,€110K,ST
Liu Boyang,China PR,54,Beijing Renhe FC,€80K,RB
Jin Hui,China PR,54,Beijing Renhe FC,€70K,ST
V. Barbero,Argentina,54,Belgrano de Córdoba,€140K,ST
J. Weaver,England,54,Birmingham City,€100K,GK
K. Ackermann,Sweden,54,BK Häcken,€150K,CM
O. Sverrisson,Sweden,54,BK Häcken,€70K,LB
J. Finnerty,Republic of Ireland,54,Bohemian FC,€130K,LCB
R. McCourt,Republic of Ireland,54,Bohemian FC,€100K,LDM
A. Lyons,Republic of Ireland,54,Bohemian FC,€90K,RB
C. Magerusan,Romania,54,Bohemian FC,€110K,ST
R. Masterson,Republic of Ireland,54,Bohemian FC,€100K,ST
H. Brockbank,England,54,Bolton Wanderers,€100K,CB
C. Ruiz,Colombia,54,Boyacá Chicó FC,€120K,CM
F. Acosta,Colombia,54,Boyacá Chicó FC,€90K,RM
T. Isherwood,Sweden,54,Bradford City,€140K,CB
L. Colville,England,54,Bradford City,€110K,LM
S. Heaney,Republic of Ireland,54,Bray Wanderers,€80K,LCB
J. Kerr,Scotland,54,Brighton & Hove Albion,€130K,RB
S. Brady,Australia,54,Brisbane Roar,€100K,RW
D. Wenzel-Halls,Australia,54,Brisbane Roar,€150K,ST
A. Parsons,England,54,Bristol City,€130K,CB
C. Lemonheigh-Evans,Wales,54,Bristol City,€120K,ST
L. Russe,England,54,Bristol Rovers,€110K,CM
A. Harper,England,54,Bristol Rovers,€100K,RB
D. Marzino,Switzerland,54,BSC Young Boys,€90K,GK
P. Teixeira,Switzerland,54,BSC Young Boys,€150K,LM
R. Hutchinson,England,54,Burton Albion,€130K,LB
S. Moloney,England,54,Bury,€60K,GK
J. Adams,Wales,54,Bury,€130K,RM
H. Darling,England,54,Cambridge United,€130K,CB
J. Veale,Wales,54,Cardiff City,€120K,CM
T. Fantacci,Italy,54,Carpi,€120K,CAM
M. Venturi,Italy,54,Carpi,€120K,CM
M. Ibacache,Chile,54,CD Everton de Viña del Mar,€90K,LB
B. Rivera,Chile,54,CD Everton de Viña del Mar,€130K,RDM
M. Lopez,Chile,54,CD Huachipato,€110K,CDM
D. Gutiérrez,Canada,54,CD Palestino,€120K,LM
J. Macdonald,Australia,54,Central Coast Mariners,€120K,ST
A. Baldwin,England,54,Cheltenham Town,€110K,CB
R. Lovett,England,54,Cheltenham Town,€90K,GK
C. Zamorano,Chile,54,Club Deportes Temuco,€130K,CDM
L. Gamíz,Mexico,54,Club Tijuana,€130K,CDM
E. Ross,England,54,Colchester United,€100K,GK
O. Sims,England,54,Colchester United,€130K,LM
E. McKeown,England,54,Colchester United,€110K,ST
T. Ryan,Republic of Ireland,54,Cork City,€100K,GK
C. Camwell,England,54,Coventry City,€130K,LB
D. Pik,Poland,54,Cracovia,€130K,LM
Kang Yun Koo,Korea Republic,54,Daegu FC,€90K,LM
Yu Zhen,China PR,54,Dalian YiFang FC,€90K,CDM
Zhao Xuebin,China PR,54,Dalian YiFang FC,€90K,ST
N. van den Dam,Netherlands,54,De Graafschap,€120K,GK
I. Acero,Mexico,54,Deportivo Toluca,€140K,CM
C. MacDonald,Scotland,54,Derby County,€130K,LB
E. Toal,Northern Ireland,54,Derry City,€130K,RCB
S. McNamee,Republic of Ireland,54,Derry City,€130K,RCM
S. Blaney,Republic of Ireland,54,Doncaster Rovers,€110K,CB
C. Scott,England,54,Dundee FC,€150K,ST
M. Giraldo,Colombia,54,Envigado FC,€120K,CDM
R. Huser,Switzerland,54,FC Basel 1893,€150K,CM
J. Ferreira,Colombia,54,FC Dallas,€150K,ST
N. Geisler,Germany,54,FC Energie Cottbus,€130K,RCM
J. Berger,Germany,54,FC Hansa Rostock,€130K,CDM
J. Breitfeld,Germany,54,FC Ingolstadt 04,€120K,RM
F. Ibsen,Denmark,54,FC København,€90K,GK
T. Renaud,France,54,FC Lorient,€130K,CDM
V. Fazliu,Switzerland,54,FC Lugano,€100K,CM
S. Wolf,Switzerland,54,FC Luzern,€130K,CM
M. Frese,Denmark,54,FC Nordsjælland,€120K,LW
I. Sadiq,Ghana,54,FC Nordsjælland,€140K,RW
B. Morgado,Switzerland,54,FC Sion,€130K,LB
M. ?atin,Austria,54,FC Wacker Innsbruck,€100K,RM
N. Baumann,Switzerland,54,FC Zürich,€70K,GK
K. Velde,Norway,54,FK Haugesund,€100K,ST
B. Crellin,England,54,Fleetwood Town,€110K,GK
M. Jenz,Germany,54,Fulham,€130K,CB
R. Campbell,England,54,Gillingham,€110K,ST
T. Durso,Argentina,54,Gimnasia y Esgrima La Plata,€120K,GK
P. Wi?niewski,Poland,54,Górnik Zabrze,€90K,RB
Ma Junliang,China PR,54,Guangzhou R&F; FC,€150K,CM
Shen Shuaishuai,China PR,54,Guangzhou R&F; FC,€120K,GK
Li Lei,China PR,54,Guizhou Hengfeng FC,€70K,GK
A. Smith,England,54,Hamilton Academical FC,€150K,CAM
S. Boyd,Scotland,54,Hamilton Academical FC,€130K,ST
E. Durmaz,Sweden,54,Hammarby IF,€100K,LM
O. Edlund,Sweden,54,Hammarby IF,€110K,ST
Xu Tianyuan,China PR,54,Hebei China Fortune FC,€130K,LM
K. Katz,Finland,54,HJK Helsinki,€130K,CB
E. Vertainen,Finland,54,HJK Helsinki,€130K,CM
R. Källman,Finland,54,HJK Helsinki,€120K,GK
C. Tanor,Ghana,54,Hobro IK,€130K,CM
S. Ono,Japan,54,Hokkaido Consadole Sapporo,€20K,CM
S. Awaka,Japan,54,Hokkaido Consadole Sapporo,€60K,GK
M. Sheaf,England,54,Hull City,€140K,RM
A. Groundstroem,Sweden,54,IF Brommapojkarna,€90K,CB
M. Ndione,Sweden,54,IF Elfsborg,€100K,ST
J. Lindgren,Sweden,54,IFK Norrköping,€110K,GK
B. Cotter,Republic of Ireland,54,Ipswich Town,€90K,RB
J. Lankester,England,54,Ipswich Town,€160K,ST
F. Gómez,Colombia,54,Itagüí Leones FC,€140K,RM
S. ?api?ski,Poland,54,Jagiellonia Bia?ystok,€130K,CAM
Zhang Yan,China PR,54,Jiangsu Suning FC,€90K,GK
H. Strömgren,Sweden,54,Kalmar FF,€80K,GK
T. Kircher,Germany,54,Karlsruher SC,€100K,RB
R. Tanaka,Japan,54,Kashiwa Reysol,€120K,RM
W. Popp,Japan,54,Kawasaki Frontale,€70K,GK
T. Queen,Scotland,54,Kilmarnock,€130K,CB
D. Higgins,Scotland,54,Kilmarnock,€110K,CB
J. Isaksen,Norway,54,Kristiansund BK,€120K,CM
N. Celic,Austria,54,LASK Linz,€130K,CDM
Y. Fofana,France,54,Le Havre AC,€110K,GK
T. Holland,Republic of Ireland,54,Limerick FC,€110K,GK
K. Brouder,Republic of Ireland,54,Limerick FC,€90K,LCB
K. O'Sullivan,Republic of Ireland,54,Limerick FC,€110K,RM
G. Maley,Scotland,54,Livingston FC,€20K,GK
J. Hamilton,Scotland,54,Livingston FC,€140K,ST
M. Welch-Hayes,England,54,Macclesfield Town,€90K,RB
M. Napa,England,54,Macclesfield Town,€150K,RM
D. Grimshaw,England,54,Manchester City,€120K,GK
S. Wilson,England,54,Mansfield Town,€120K,GK
R. Akbari,Australia,54,Melbourne Victory,€140K,CAM
S. Walker,England,54,Middlesbrough,€150K,ST
J. Hanson,England,54,Millwall,€140K,CM
M. Saunders-Henry,England,54,Millwall,€110K,RM
E. Breivik,Norway,54,Molde FK,€130K,CDM
R. Gutiérrez,Mexico,54,Monarcas Morelia,€80K,GK
J. Beaulieu,Canada,54,Montreal Impact,€70K,GK
M. Schmeling,Germany,54,MSV Duisburg,€130K,LB
Y. Ogaki,Japan,54,Nagoya Grampus,€140K,ST
I. Angking,United States,54,New England Revolution,€130K,CDM
N. James,Australia,54,Newcastle Jets,€90K,GK
H. Odoffin,England,54,Northampton Town,€100K,RB
T. Lauritsen,Norway,54,Odds BK,€120K,ST
M. Attiyah,Saudi Arabia,54,Ohod Club,€80K,LCM
T. Clavijo,Colombia,54,Once Caldas,€130K,LB
C. Barrios,Colombia,54,Patriotas Boyacá FC,€120K,CAM
A. Tymi?ski,Poland,54,Piast Gliwice,€110K,CB
M. Malec,Poland,54,Pogo? Szczecin,€80K,LCB
M. Howard,England,54,Preston North End,€140K,ST
D. Dalling,England,54,Queens Park Rangers,€150K,CAM
R. McCrorie,Scotland,54,Rangers FC,€120K,GK
O. Skarsem,Norway,54,Rosenborg BK,€140K,CM
A. Fantini,Japan,54,Sagan Tosu,€120K,GK
J. Pereira,Uruguay,54,San Luis de Quillota,€70K,CB
J. Lártiga,Chile,54,San Luis de Quillota,€120K,GK
J. Storevik,Norway,54,Sandefjord Fotball,€100K,GK
G. Gibson,Norway,54,Sandefjord Fotball,€140K,ST
S. Gucciardo,Turkey,54,SC Paderborn 07,€120K,ST
L. Zottele,Austria,54,SCR Altach,€100K,CB
L. Butroid,England,54,Scunthorpe United,€130K,LB
F. Macias,Venezuela,54,SD Huesca,€150K,ST
M. Kulke,Germany,54,SG Dynamo Dresden,€130K,CM
J. Meiser,Germany,54,SG Sonnenhof Großaspach,€120K,ST
Li Hailong,China PR,54,Shandong Luneng TaiShan FC,€100K,RB
J. Doherty,Republic of Ireland,54,Sheffield United,€120K,CDM
F. Preston,England,54,Sheffield Wednesday,€150K,RM
J. McAtee,England,54,Shrewsbury,€140K,ST
E. Kalsaas,Norway,54,SK Brann,€90K,RB
C. Giuliani,Austria,54,SK Sturm Graz,€120K,GK
A. Vucenovic,Austria,54,SKN St. Pölten,€110K,ST
E. McGinty,Republic of Ireland,54,Sligo Rovers,€110K,GK
L. Morrison,Scotland,54,Sligo Rovers,€130K,ST
S. Barone,Italy,54,Spezia,€90K,GK
D. Bochicchio,Italy,54,Sporting de Charleroi,€90K,GK
N. Mantl,Germany,54,SpVgg Unterhaching,€110K,GK
A. Comrie,Scotland,54,St. Johnstone FC,€130K,RB
J. King,England,54,St. Mirren,€110K,CM
M. Olsen,Norway,54,Stabæk Fotball,€130K,RB
V. Piechocki,France,54,Stade de Reims,€110K,CAM
A. Aktas,Turkey,54,Stade de Reims,€140K,CAM
A. Reid,England,54,Stevenage,€90K,ST
J. Hackett,England,54,Sunderland,€100K,CM
A. Nelson,England,54,Sunderland,€110K,ST
J. Romanski,England,54,Swindon Town,€90K,LB
C. Devlin,Australia,54,Sydney FC,€150K,CM
Qian Yumiao,China PR,54,Tianjin Quanjian FC,€120K,CB
Mao Haoyu,China PR,54,Tianjin TEDA FC,€100K,ST
Xie Weijun,China PR,54,Tianjin TEDA FC,€110K,ST
E. Pastrana,Mexico,54,Tiburones Rojos de Veracruz,€130K,CB
S. George,England,54,Tranmere Rovers,€100K,GK
H. Brkic,Sweden,54,Trelleborgs FF,€140K,ST
M. Pfeifer,Austria,54,TSV Hartberg,€90K,CB
I. Núñez,Chile,54,Unión Española,€130K,CB
J. Echave,Chile,54,Unión Española,€110K,GK
D. Castro,Chile,54,Unión La Calera,€90K,ST
M. Contreras,Chile,54,Unión La Calera,€120K,ST
C. Salomón,Chile,54,Universidad Católica,€110K,CB
Strefezza,Brazil,54,US Cremonese,€100K,RW
S. Yoneda,Japan,54,V-Varen Nagasaki,€90K,CAM
Y. Omoto,Japan,54,V-Varen Nagasaki,€90K,RM
M. Siby,France,54,Valenciennes FC,€80K,CDM
V. Adebayor,Niger,54,Vejle Boldklub,€110K,CAM
F. Fridriksson,Iceland,54,Vejle Boldklub,€130K,LWB
B. Lund,Denmark,54,Vendsyssel FF,€110K,LB
R. Strechie,Romania,54,Venezia FC,€110K,CM
B. Ekincier,Azerbaijan,54,VfL Bochum 1848,€150K,LM
